DN,Longitude,Latitude
"1",120.3744988,16.109
"1",120.3782796,16.109
"1",120.3730036,16.109
"1",120.3747291,16.108
"1",120.3749595,16.108
"1",120.3806012,16.108
"1",120.3808315,16.108
"1",120.3736048,16.108
"1",120.3742004,16.108
"1",120.3744805,16.108
"1",120.3734414,16.107
"1",120.3732524,16.107
"1",120.3752993,16.106
"1",120.3729157,16.106
"1",120.3751072,16.106
"1",120.3749198,16.106
"1",120.3747300,16.106
"1",120.3749167,16.106
"1",120.3841554,16.105
"1",120.3746803,16.106
"1",120.3729472,16.105
"1",120.3737406,16.105
"1",120.3841447,16.105
"1",120.3730375,16.105
"1",120.3732242,16.105
"1",120.3735042,16.105
"1",120.3738776,16.105
"1",120.3743444,16.105
"1",120.3746711,16.105
"1",120.3726143,16.105
"1",120.3729411,16.105
"1",120.3732211,16.105
"1",120.3737345,16.105
"1",120.3739679,16.105
"1",120.3744347,16.105
"1",120.3746214,16.105
"1",120.3843291,16.105
"1",120.3727513,16.105
"1",120.3730314,16.105
"1",120.3746183,16.105
"1",120.3804045,16.104
"1",120.3839518,16.104
"1",120.3720948,16.105
"1",120.3722815,16.105
"1",120.3726549,16.105
"1",120.3728416,16.105
"1",120.3730283,16.105
"1",120.3748953,16.104
"1",120.3804000,16.104
"1",120.3841340,16.104
"1",120.3721851,16.104
"1",120.3728385,16.104
"1",120.3730252,16.104
"1",120.3839465,16.104
"1",120.3845058,16.104
"1",120.3726488,16.104
"1",120.3728355,16.104
"1",120.3717138,16.104
"1",120.3719005,16.104
"1",120.3863347,16.104
"1",120.3749328,16.104
"0",120.3863682,16.104
"1",120.3717077,16.104
"1",120.3839381,16.104
"1",120.3718928,16.104
"1",120.3721729,16.104
"1",120.3759069,16.104
"1",120.3760936,16.104
"1",120.3788941,16.104
"0",120.3862687,16.103
"1",120.3790778,16.103
"1",120.3717016,16.103
"1",120.3815033,16.103
"1",120.3846772,16.103
"1",120.3848639,16.103
"1",120.3861992,16.103
"1",120.3760875,16.103
"1",120.3857951,16.103
"1",120.3860200,16.103
"1",120.3794134,16.103
"0",120.3854175,16.103
"1",120.3712272,16.103
"1",120.3865342,16.103
"1",120.3716909,16.103
"1",120.3799041,16.103
"1",120.3858311,16.102
"1",120.3720615,16.103
"1",120.3840100,16.102
"1",120.3868105,16.102
"1",120.3869971,16.102
"1",120.3872772,16.102
"1",120.3841018,16.102
"1",120.3852269,16.103
"1",120.3856413,16.102
"1",120.3866222,16.102
"1",120.3869023,16.102
"1",120.3717781,16.102
"1",120.3817665,16.102
"0",120.3845670,16.102
"1",120.3862473,16.102
"1",120.3845771,16.102
"1",120.3861057,16.102
"1",120.3863391,16.102
"1",120.3855525,16.102
"1",120.3707452,16.102
"1",120.3726122,16.102
"1",120.3840008,16.102
"1",120.3849343,16.102
"1",120.3846994,16.102
"1",120.3850261,16.102
"1",120.3722357,16.102
"1",120.3726091,16.102
"1",120.3839970,16.102
"1",120.3842462,16.102
"1",120.3848669,16.101
"1",120.3825011,16.101
"1",120.3834346,16.101
"1",120.3869818,16.101
"1",120.3841332,16.101
"1",120.3854127,16.101
"1",120.3826847,16.101
"1",120.3867921,16.101
"1",120.3856681,16.101
"1",120.3864462,16.101
"0",120.3852939,16.101
"1",120.3858540,16.101
"1",120.3858788,16.101
"1",120.3853558,16.101
"1",120.3829587,16.101
"1",120.3844989,16.101
"1",120.3837039,16.101
"1",120.3795950,16.101
"1",120.3843558,16.101
"1",120.3858494,16.101
"1",120.3797787,16.101
"1",120.3857530,16.101
"1",120.3865916,16.100
"1",120.3838830,16.100
"1",120.3859366,16.100
"1",120.3803809,16.100
"1",120.3799593,16.100
"1",120.3857446,16.100
"0",120.3861187,16.100
"0",120.3863054,16.100
"1",120.3862005,16.100
"1",120.3826618,16.100
"1",120.3854607,16.100
"1",120.3857874,16.100
"1",120.3860208,16.100
"1",120.3824253,16.100
"1",120.3832157,16.100
